"";"spatial_code";"spatial_name";"spatial_type";"spatial_date";"temporal_date";"temporal_type";"measure";"value"
"1";"GA01";"Centrum-West";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDGEB_P";40,56
"2";"GA01";"Centrum-West";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDAMS_P";22,13
"3";"GA01";"Centrum-West";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDNL_P";6,25
"4";"GA01";"Centrum-West";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDONLINE_P";31,06
"5";"GA01";"Centrum-West";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDGEB_P";79,44
"6";"GA01";"Centrum-West";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDAMS_P";17,86
"7";"GA01";"Centrum-West";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDNL_P";0,28
"8";"GA01";"Centrum-West";"gebieden";"20220324";"20240101";"peildatum";"EDG_BINDONLINE_P";2,42
"9";"GA02";"Centrum-Oost";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDGEB_P";15,72
"10";"GA02";"Centrum-Oost";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDAMS_P";43,56
"11";"GA02";"Centrum-Oost";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDNL_P";6,62
"12";"GA02";"Centrum-Oost";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDONLINE_P";34,08
"13";"GA02";"Centrum-Oost";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDGEB_P";71,72
"14";"GA02";"Centrum-Oost";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDAMS_P";25,95
"15";"GA02";"Centrum-Oost";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDNL_P";1,16
"16";"GA02";"Centrum-Oost";"gebieden";"20220324";"20240101";"peildatum";"EDG_BINDONLINE_P";1,17
"17";"GE03";"Westerpark";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDGEB_P";8,19
"18";"GE03";"Westerpark";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDAMS_P";47,85
"19";"GE03";"Westerpark";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDNL_P";4,85
"20";"GE03";"Westerpark";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDONLINE_P";39,11
"21";"GE03";"Westerpark";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDGEB_P";61,27
"22";"GE03";"Westerpark";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDAMS_P";33,64
"23";"GE03";"Westerpark";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDNL_P";0,44
"24";"GE03";"Westerpark";"gebieden";"20220324";"20240101";"peildatum";"EDG_BINDONLINE_P";4,63
"25";"GE04";"Bos en Lommer";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDGEB_P";10,58
"26";"GE04";"Bos en Lommer";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDAMS_P";38,63
"27";"GE04";"Bos en Lommer";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDNL_P";11
"28";"GE04";"Bos en Lommer";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDONLINE_P";39,76
"29";"GE04";"Bos en Lommer";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDGEB_P";65,75
"30";"GE04";"Bos en Lommer";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDAMS_P";29,21
"31";"GE04";"Bos en Lommer";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDNL_P";0,84
"32";"GE04";"Bos en Lommer";"gebieden";"20220324";"20240101";"peildatum";"EDG_BINDONLINE_P";4,19
"33";"GE05";"Oud West, De Baarsjes";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDGEB_P";35,76
"34";"GE05";"Oud West, De Baarsjes";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDAMS_P";22,48
"35";"GE05";"Oud West, De Baarsjes";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDNL_P";2,95
"36";"GE05";"Oud West, De Baarsjes";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDONLINE_P";38,81
"37";"GE05";"Oud West, De Baarsjes";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDGEB_P";90,78
"38";"GE05";"Oud West, De Baarsjes";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDAMS_P";6,47
"39";"GE05";"Oud West, De Baarsjes";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDNL_P";0,83
"40";"GE05";"Oud West, De Baarsjes";"gebieden";"20220324";"20240101";"peildatum";"EDG_BINDONLINE_P";1,93
"41";"GF06";"Sloterdijk Nieuw-West";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDGEB_P";2,16
